2026-02-16 14:27:04,226 | INFO | faiss.loader | Loading faiss.
2026-02-16 14:27:04,234 | INFO | faiss.loader | Successfully loaded faiss.
/Users/piyushchopra/projects/PSK Bot/venv/lib/python3.14/site-packages/langchain_core/_api/deprecation.py:26: UserWarning: Core Pydantic V1 functionality isn't compatible with Python 3.14 or greater.
  from pydantic.v1.fields import FieldInfo as FieldInfoV1
2026-02-16 14:27:04,377 | INFO | psk_bot.services.document_manager | Loaded 0 documents from metadata
2026-02-16 14:27:04,377 | INFO | psk_bot.services.vector_store | Preloading embedding model: nomic-embed-text
2026-02-16 14:27:04,391 | INFO | psk_bot.services.ollama_embeddings | Initialized Ollama embeddings with model: nomic-embed-text
2026-02-16 14:27:04,391 | INFO | psk_bot.services.vector_store | Using Ollama embeddings (Mac-compatible)
2026-02-16 14:27:04,434 | INFO | psk_bot.ingestion.parsers | Parsed HTML: about-algosec-firewall-analyzer.htm (7636 chars visible text, 0 chars raw source)
2026-02-16 14:27:04,435 | INFO | psk_bot.ingestion.pdf | Split text into 9 chunks (0 dropped as too short)
2026-02-16 14:27:04,435 | INFO | psk_bot.services.document_manager | Created document: about_algosec_firewall_analyze_e92454d5 (about-algosec-firewall-analyzer.htm)
2026-02-16 14:27:04,435 | INFO | psk_bot.services.vector_store | Preloading embedding model: nomic-embed-text
2026-02-16 14:27:04,448 | INFO | psk_bot.services.ollama_embeddings | Initialized Ollama embeddings with model: nomic-embed-text
2026-02-16 14:27:04,448 | INFO | psk_bot.services.vector_store | Using Ollama embeddings (Mac-compatible)
2026-02-16 14:27:05,170 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,204 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,249 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,283 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,311 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,345 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,382 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,423 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,451 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,451 | INFO | psk_bot.services.vector_store | Using FAISS HNSW index with inner product similarity
2026-02-16 14:27:05,459 | INFO | psk_bot.services.vector_store | Vector index stored at /Users/piyushchopra/projects/PSK Bot/vector_store/about_algosec_firewall_analyze_e92454d5/faiss_index.faiss
2026-02-16 14:27:05,459 | INFO | psk_bot.services.vector_store | Persisted 9 document chunks
2026-02-16 14:27:05,459 | INFO | psk_bot.services.vector_store | Persisted vector store metadata at /Users/piyushchopra/projects/PSK Bot/vector_store/about_algosec_firewall_analyze_e92454d5/faiss_index.meta.json
2026-02-16 14:27:05,459 | INFO | psk_bot.services.vector_store | Added 9 documents to vector store (doc_id=about_algosec_firewall_analyze_e92454d5)
2026-02-16 14:27:05,460 | INFO | psk_bot.services.document_manager | Updated document about_algosec_firewall_analyze_e92454d5 status to ready
2026-02-16 14:27:05,489 | INFO | psk_bot.ingestion.parsers | Parsed HTML: add-cloud.htm (57897 chars visible text, 0 chars raw source)
2026-02-16 14:27:05,489 | INFO | psk_bot.ingestion.pdf | Split text into 74 chunks (0 dropped as too short)
2026-02-16 14:27:05,490 | INFO | psk_bot.services.document_manager | Created document: add_cloud_37e4a5a4 (add-cloud.htm)
2026-02-16 14:27:05,491 | INFO | psk_bot.services.vector_store | Preloading embedding model: nomic-embed-text
2026-02-16 14:27:05,504 | INFO | psk_bot.services.ollama_embeddings | Initialized Ollama embeddings with model: nomic-embed-text
2026-02-16 14:27:05,504 | INFO | psk_bot.services.vector_store | Using Ollama embeddings (Mac-compatible)
2026-02-16 14:27:05,539 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,575 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,612 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,680 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,714 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,808 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,842 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,878 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,914 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,945 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:05,976 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,012 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,047 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,070 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,104 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,128 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,159 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,190 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,222 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,249 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,283 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,318 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:06,349 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
